"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"f:\SocialApp\src\ui\PostModal.jsx", "JavaScript JSX", 0, 168, 0, 0, 0, 0, 0, 0, 19, 187
"f:\SocialApp\src\ui\ProtectedRoutes.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"f:\SocialApp\src\ui\Row.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"f:\SocialApp\src\ui\ScrollBtn.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"f:\SocialApp\src\ui\SearchInput.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 1, 9, 62
"f:\SocialApp\src\ui\Sidebar.jsx", "JavaScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 6, 81
"f:\SocialApp\src\ui\Spinner.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"f:\SocialApp\src\ui\ThemeToggle.jsx", "JavaScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"f:\SocialApp\src\ui\UserSidebarInfo.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"f:\SocialApp\src\utils\contstants.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\SocialApp\src\utils\helpers.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
"f:\SocialApp\src\utils\parseText.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"f:\SocialApp\vite.config.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 1, 2, 21
"Total", "-", 2660, 6070, 18, 3448, 61, 8, 17, 167, 1351, 13800
